ID,Date,Source,Message,Département,Anonymisé
249,2024-11-15,Teams,Rich marriage during street program.,Marketing,Oui
250,2024-03-20,Slack,Wonder staff across.,RH,Oui
251,2024-11-02,Teams,Idea just camera subject.,RH,Oui
252,2024-07-25,Email,Well street baby your anything modern many.,Ventes,Oui
253,2024-10-17,Email,Edge second rich theory.,RH,Oui
254,2024-10-10,Email,Who hope black operation pretty.,IT,Oui
255,2024-06-05,Slack,Job put debate media.,Ventes,Oui
256,2024-10-19,Teams,Without federal film million score.,Finance,Oui
257,2024-09-20,Slack,Join place evening want property all business least.,Finance,Oui
258,2024-03-31,Email,Government she plan stock.,Ventes,Oui
259,2024-07-02,Teams,Campaign debate lose.,Marketing,Oui
260,2024-04-25,Teams,Sign world help today.,Ventes,Oui
261,2024-06-09,Slack,Case matter throw activity matter.,Finance,Oui
262,2024-08-31,Email,Think health environmental throughout method himself grow.,Ventes,Oui
263,2024-09-15,Slack,Him sort able easy.,RH,Oui
264,2025-01-20,Email,Process no enter above.,Finance,Oui
265,2024-04-26,Teams,Skill magazine sell respond answer lot.,Marketing,Oui
266,2024-06-01,Teams,Event purpose too knowledge prepare point.,IT,Oui
267,2025-02-08,Email,Most need teacher happy he personal.,RH,Oui
268,2024-10-19,Slack,Mind wonder mind out hot billion performance.,IT,Oui
269,2024-09-24,Slack,Officer almost say woman record attack.,Production,Oui
270,2024-04-09,Teams,Behavior direction become west notice yes.,Marketing,Oui
271,2025-01-11,Teams,Mind say only billion catch.,RH,Oui
272,2024-10-18,Teams,Year rate pressure near security hold.,RH,Oui
273,2024-08-24,Slack,Base trouble color skin huge write drug.,Ventes,Oui
274,2024-06-21,Teams,Participant film raise response boy week.,Ventes,Oui
275,2024-02-28,Slack,Area standard education impact expert.,Production,Oui
276,2024-04-11,Teams,War standard recognize yeah night.,Production,Oui
277,2024-11-22,Email,Huge agreement especially something professional situation effect.,Ventes,Oui
278,2024-12-29,Email,Take carry range evening own.,IT,Oui
279,2024-08-25,Email,Suddenly season assume expect imagine expect whole.,Finance,Oui
280,2024-12-14,Slack,Strategy if analysis board.,Marketing,Oui
281,2024-04-02,Teams,Real market speech radio sense wall drug through.,Production,Oui
282,2024-08-17,Slack,Employee do of international attack item within.,RH,Oui
283,2024-12-16,Email,Age thought dark local house.,Marketing,Oui
284,2024-05-20,Email,Miss me whom cell.,Marketing,Oui
285,2025-02-14,Teams,Word night yeah nation help.,Ventes,Oui
286,2024-05-03,Email,Drive moment receive as consumer great.,RH,Oui
287,2024-05-31,Teams,Practice peace dinner protect consider already a media.,Ventes,Oui
288,2024-08-05,Email,Well just specific western on despite wear.,RH,Oui
289,2024-08-30,Teams,Seem story boy myself including.,Marketing,Oui
290,2024-04-26,Teams,Sister out alone adult might.,Ventes,Oui
291,2024-11-07,Slack,Relationship indicate which fight deal.,Finance,Oui
292,2024-12-13,Slack,Certainly of everything machine support western.,Ventes,Oui
293,2024-11-23,Email,Summer often team similar country.,Ventes,Oui
294,2025-02-14,Slack,Your direction top.,Ventes,Oui
295,2024-11-20,Email,North face customer although either before.,Finance,Oui
296,2025-02-15,Teams,Large model collection your development reveal.,Marketing,Oui
297,2024-09-30,Slack,Significant want instead hold draw.,Finance,Oui
298,2024-09-29,Slack,Fear analysis drop song.,Production,Oui
299,2024-06-23,Slack,Baby fight important hit.,Finance,Oui
300,2024-07-28,Email,Sign other remain American blue.,Ventes,Oui
301,2024-04-29,Teams,Environmental news like again.,Finance,Oui
302,2024-12-24,Email,Finish school system teacher again rather.,IT,Oui
303,2024-07-12,Email,Partner here contain court serve.,RH,Oui
304,2024-05-27,Teams,Quality growth recently coach allow black chair.,Finance,Oui
305,2024-10-26,Slack,Behind too why simple.,Marketing,Oui
306,2024-04-06,Email,Serious even civil on.,Production,Oui
307,2024-09-23,Slack,Seem rest group green law necessary.,RH,Oui
308,2024-07-15,Email,Fund page even any somebody if red sea.,IT,Oui
309,2025-02-02,Slack,He indeed she tax any wide student decide.,Ventes,Oui
310,2025-02-01,Email,Raise consider line meeting artist prevent general.,Ventes,Oui
311,2024-09-10,Slack,Form like increase already to.,RH,Oui
312,2024-07-02,Email,Garden decide window above truth.,Ventes,Oui
313,2024-07-10,Slack,Fund company establish Congress live dark.,Marketing,Oui
314,2024-06-08,Slack,Hear rule point board design suddenly.,Production,Oui
315,2025-01-29,Email,Method seek will include win once.,Marketing,Oui
316,2024-05-13,Email,Admit including yourself moment.,Finance,Oui
317,2024-11-30,Teams,Describe blue face war figure.,Ventes,Oui
318,2024-10-28,Slack,Natural wall but which dog.,Finance,Oui
319,2024-09-22,Slack,Affect and billion dark continue modern.,IT,Oui
320,2024-08-04,Email,War short far return few nice different.,Production,Oui
321,2024-04-10,Teams,National lead few air thus determine forward.,Marketing,Oui
322,2024-08-21,Teams,Tax professor yeah side.,Finance,Oui
323,2024-03-05,Slack,Political million cover product yeah already.,Ventes,Oui
324,2025-02-01,Teams,Authority truth ability process land recognize process recent.,RH,Oui
325,2024-11-05,Slack,Result shake security scene song natural series.,Ventes,Oui
326,2024-11-16,Email,Public help boy inside southern war.,Production,Oui
327,2024-10-07,Slack,Base notice town hour federal piece hear cause.,RH,Oui
328,2024-08-30,Email,Perhaps woman television little music try draw.,Ventes,Oui
329,2025-02-11,Email,Perhaps Mrs reach enough perhaps company.,RH,Oui
330,2024-03-06,Teams,What treat cultural style discuss we hour health.,Production,Oui
331,2024-12-08,Email,Lead east dark involve.,IT,Oui
332,2024-06-28,Slack,Hand image radio yourself difficult magazine activity data.,IT,Oui
333,2024-08-04,Email,Reflect international material whom hotel teacher.,Production,Oui
334,2024-02-28,Email,Blue international heavy home hand.,RH,Oui
335,2024-11-26,Email,Garden generation mouth four.,IT,Oui
336,2024-07-13,Slack,Fire identify less receive week century environmental.,Finance,Oui
337,2024-11-09,Email,Identify month them firm.,Production,Oui
338,2025-01-01,Email,Identify thing stage finally recognize TV.,Marketing,Oui
339,2024-06-09,Slack,Certainly recently leader collection kind detail.,IT,Oui
340,2024-12-21,Slack,Ground foot structure industry cause for enough.,Finance,Oui
341,2024-08-05,Teams,Worry half keep civil.,IT,Oui
342,2024-08-09,Slack,Management clearly at live believe language wear.,Finance,Oui
343,2024-08-16,Teams,Respond church very behavior follow beat.,Production,Oui
344,2024-05-05,Teams,Bring develop tonight scientist.,Ventes,Oui
345,2024-11-27,Teams,Probably catch far series sort main perform vote.,Finance,Oui
346,2024-07-23,Email,Huge market road value man voice.,Production,Oui
347,2024-02-18,Teams,Choice with fish rise.,Marketing,Oui
348,2024-04-27,Email,Amount drop group family.,IT,Oui
349,2025-01-03,Email,Station nice time natural high beat baby.,RH,Oui
350,2024-03-08,Teams,Art get Mr several already.,Ventes,Oui
351,2025-02-08,Email,Box another community red moment like.,Ventes,Oui
352,2024-10-23,Email,Fine hot guy child.,Production,Oui
353,2024-02-29,Email,Include give mean event society fire.,Marketing,Oui
354,2024-11-04,Email,Society soon reach condition on.,Production,Oui
355,2024-08-31,Slack,Artist yard thank face form exactly start require.,Ventes,Oui
356,2024-08-31,Slack,Song level tough chair administration off.,IT,Oui
357,2025-02-17,Email,Energy full tax relationship fill huge.,IT,Oui
358,2024-10-06,Email,Senior his public article mention entire how.,IT,Oui
359,2024-02-23,Teams,Reflect account federal western.,Finance,Oui
360,2024-10-04,Email,What director plan I ask vote.,RH,Oui
361,2024-12-11,Slack,Eye nothing sense event behavior policy.,Finance,Oui
362,2024-02-26,Teams,Him know allow leave anyone.,IT,Oui
363,2024-10-04,Slack,Can cost community.,Marketing,Oui
364,2024-10-17,Slack,Up include whether owner edge.,IT,Oui
365,2024-09-20,Email,Drive data choice strong.,IT,Oui
366,2024-11-18,Teams,Wide approach activity.,Finance,Oui
367,2024-11-11,Teams,Energy land understand measure as.,RH,Oui
368,2024-07-25,Slack,Show technology certain camera fire.,Production,Oui
369,2024-11-26,Slack,Health professional address term money.,IT,Oui
370,2024-05-13,Email,As again yet us.,Finance,Oui
371,2024-10-25,Email,Through nearly buy edge.,Marketing,Oui
372,2024-07-24,Slack,Area agreement big walk fill.,Production,Oui
373,2024-10-02,Email,Pm dark front student seem travel note.,IT,Oui
374,2024-11-26,Email,Not sea role reflect possible across.,RH,Oui
375,2024-10-23,Email,View entire mother.,Finance,Oui
376,2024-08-01,Slack,Crime card daughter out whom.,RH,Oui
377,2024-09-18,Email,Against more value me return stock.,Finance,Oui
378,2024-05-29,Email,Similar body society bag table forget glass.,Production,Oui
379,2024-12-30,Teams,Add recent key make wall skin.,Ventes,Oui
380,2024-11-19,Slack,Push seem event particular.,RH,Oui
381,2024-07-10,Email,Under institution production who represent professional each.,Ventes,Oui
382,2024-03-30,Email,Big employee somebody.,Marketing,Oui
383,2025-01-05,Email,Allow ask quickly something pass respond.,IT,Oui
384,2024-08-13,Email,Where another evening hundred want.,Production,Oui
385,2024-03-20,Slack,Trip light wide left finish billion.,Ventes,Oui
386,2024-11-28,Teams,Ever spend ability dream scientist during.,IT,Oui
387,2024-02-19,Slack,Friend religious a continue half camera ground if.,Ventes,Oui
388,2025-01-20,Teams,Issue method start.,Marketing,Oui
389,2025-01-13,Teams,Blue right somebody.,RH,Oui
390,2025-01-23,Email,Reflect treatment Democrat believe.,Finance,Oui
391,2024-04-12,Email,Second treat into in appear Democrat when.,IT,Oui
392,2024-06-26,Teams,Indeed low none a character.,IT,Oui
393,2024-04-04,Teams,Many third eight imagine.,Production,Oui
394,2024-02-24,Slack,Must suffer bit event unit bill.,Marketing,Oui
395,2025-02-07,Slack,Culture large task cold.,RH,Oui
396,2024-05-06,Slack,Very arrive theory however everybody.,Marketing,Oui
397,2024-12-31,Email,Performance add charge stage because.,Finance,Oui
398,2024-10-29,Email,Moment check nor deal next.,Production,Oui
399,2024-04-06,Slack,Mrs star street born.,Ventes,Oui
400,2024-09-16,Slack,Service subject challenge star.,Finance,Oui
401,2024-06-11,Email,Mention investment join you claim pick.,Production,Oui
402,2025-02-09,Slack,Great reflect product network mean authority.,Ventes,Oui
403,2024-09-29,Slack,Idea year else live unit policy.,Ventes,Oui
404,2024-08-05,Teams,Strategy miss six American eye.,Ventes,Oui
405,2024-05-04,Teams,Range four mention report.,Ventes,Oui
406,2024-07-26,Slack,Even whether machine ago same.,IT,Oui
407,2024-08-10,Teams,Matter believe item general trouble.,RH,Oui
408,2024-10-09,Teams,Partner sing detail us consider idea.,Ventes,Oui
409,2025-01-10,Slack,Claim official western likely true recent operation.,RH,Oui
410,2024-07-24,Email,Produce coach station animal late.,IT,Oui
411,2024-10-06,Slack,Leave recently Republican strong hear while prove example.,IT,Oui
412,2024-10-21,Email,Theory look toward know.,Marketing,Oui
413,2024-02-21,Email,System television condition owner budget upon whatever.,Ventes,Oui
414,2024-02-27,Teams,Eat between yes each according standard some early.,Marketing,Oui
415,2024-09-08,Teams,Radio industry next ready yes successful husband him.,Ventes,Oui
416,2024-08-12,Email,Conference cut couple thank major.,Production,Oui
417,2024-03-28,Email,Still want leader.,Ventes,Oui
418,2024-11-16,Slack,Pattern important organization time.,RH,Oui
419,2024-10-01,Teams,Charge treatment style lawyer must.,RH,Oui
420,2025-02-15,Email,To work risk mean.,Ventes,Oui
421,2025-01-20,Teams,Away themselves billion court religious.,Ventes,Oui
422,2024-06-02,Email,Certain board least democratic.,Finance,Oui
423,2024-12-10,Teams,Save turn half if.,Ventes,Oui
424,2025-01-28,Slack,Allow involve perform task western.,Finance,Oui
425,2024-08-02,Email,Page themselves animal occur really issue show.,IT,Oui
426,2024-05-22,Email,Myself test about.,RH,Oui
427,2024-10-12,Email,So traditional realize kitchen town technology.,IT,Oui
428,2025-01-13,Teams,Some listen official entire dinner under.,RH,Oui
429,2024-06-10,Email,Crime character black.,Production,Oui
430,2025-01-27,Teams,Include generation sort appear growth general myself.,Marketing,Oui
431,2025-01-30,Slack,Bill voice would activity area drop face.,Production,Oui
432,2024-12-01,Email,Will yet appear whether yet its.,Finance,Oui
433,2024-12-13,Slack,Bring she good table inside everything game.,IT,Oui
434,2024-09-13,Email,Simply film particular off past other Republican.,IT,Oui
435,2024-08-03,Email,Claim democratic individual happy watch.,Marketing,Oui
436,2024-07-22,Teams,While common team important professional audience.,Production,Oui
437,2024-06-22,Teams,Single loss night.,Production,Oui
438,2024-12-24,Slack,Million break move season main.,Marketing,Oui
439,2024-03-08,Teams,Movie successful either plant.,Production,Oui
440,2024-03-05,Email,Run single smile certain investment face war necessary.,IT,Oui
441,2025-02-08,Email,Property six thousand make push.,Ventes,Oui
442,2024-08-09,Email,Third attention teach organization manage.,Production,Oui
443,2024-04-12,Slack,Fish keep religious long senior pass.,Finance,Oui
444,2024-10-07,Slack,Family would some.,Finance,Oui
445,2024-11-06,Email,Wall training far last assume human discussion.,Marketing,Oui
446,2024-07-07,Teams,Section investment glass partner analysis.,Marketing,Oui
447,2024-11-10,Teams,Resource agency throughout network form yet.,Marketing,Oui
448,2024-03-09,Teams,President eye claim coach walk data.,Ventes,Oui
449,2024-10-23,Slack,Sell bad side quite quickly call.,Finance,Oui
450,2024-06-28,Email,Consider spring ago step quickly mention.,RH,Oui
451,2024-08-20,Slack,Budget sometimes nearly according decade.,IT,Oui
452,2024-07-21,Slack,Computer small suffer data.,Ventes,Oui
453,2024-03-16,Email,Trade see three recent affect raise.,Marketing,Oui
454,2024-12-20,Slack,What fight enter majority.,IT,Oui
455,2024-10-19,Slack,Rest single administration economic will might message.,Finance,Oui
456,2024-04-12,Slack,Across meeting address skin she.,Ventes,Oui
457,2024-09-13,Email,Part create a along argue.,Finance,Oui
458,2024-11-23,Teams,Relate tree stock add that relationship bank history.,Finance,Oui
459,2024-05-17,Email,However minute such listen hundred around soon.,RH,Oui
460,2024-08-11,Email,Myself southern nor among.,Ventes,Oui
461,2024-08-08,Teams,Fall project discover training cut first.,Finance,Oui
462,2024-10-15,Slack,Yard rather few few not should.,Marketing,Oui
463,2025-02-03,Teams,Movement return political them issue.,IT,Oui
464,2024-03-10,Slack,Make citizen society present quite animal beyond.,Ventes,Oui
465,2024-05-30,Slack,Which really body new would tree everything change.,Production,Oui
466,2025-02-17,Teams,Allow note need easy information continue fill.,Ventes,Oui
467,2024-06-22,Email,Tend hundred establish.,Production,Oui
468,2025-01-23,Email,Break dog agreement check foreign real sure.,Marketing,Oui
469,2024-03-21,Teams,Fine with ever interest resource.,Production,Oui
470,2024-03-13,Email,Here rate spring discuss someone.,Marketing,Oui
471,2024-11-16,Email,Somebody candidate forget.,Marketing,Oui
472,2024-06-26,Email,Join poor already ready into media.,Marketing,Oui
473,2024-12-04,Email,Education movement million local.,Production,Oui
474,2024-06-04,Email,Decade truth strategy especially black.,IT,Oui
475,2024-06-19,Email,Almost allow window lay town quite.,Ventes,Oui
476,2024-09-14,Slack,As it own day firm.,Marketing,Oui
477,2024-08-24,Slack,Gun parent cause personal.,Production,Oui
478,2024-04-12,Slack,Share environment avoid phone space.,Ventes,Oui
479,2024-05-17,Slack,Either method thing doctor it many.,Marketing,Oui
480,2024-12-11,Teams,Assume member down five.,IT,Oui
481,2024-08-19,Slack,Consumer person chance realize what interesting do.,Marketing,Oui
482,2024-09-17,Teams,Include decide include company story able.,IT,Oui
483,2024-04-27,Slack,Business around southern just his entire care.,Finance,Oui
484,2024-09-14,Email,Lot fire maybe try technology fly.,Marketing,Oui
485,2025-01-30,Email,Near control prevent interesting.,Marketing,Oui
486,2024-12-28,Email,Increase matter painting produce.,IT,Oui
487,2025-01-18,Email,Your wonder great when.,Finance,Oui
488,2024-03-10,Teams,Really road morning.,RH,Oui
489,2024-06-30,Teams,Growth action area population discuss rock.,Production,Oui
490,2024-10-23,Email,Among couple attack once avoid nation.,IT,Oui
491,2024-05-25,Email,Wrong walk TV.,Production,Oui
492,2024-12-24,Teams,Play present arrive include.,Finance,Oui
493,2024-06-14,Email,Fund already one price good different.,RH,Oui
494,2025-01-06,Slack,Operation subject she.,Finance,Oui
495,2024-10-20,Teams,Democratic art national night sea center radio.,Ventes,Oui
496,2024-10-10,Slack,Minute budget quickly then technology teacher industry onto.,RH,Oui
497,2024-06-21,Email,Door watch return carry now.,Finance,Oui
498,2024-09-23,Slack,List design training marriage world nothing opportunity.,Production,Oui
499,2024-07-30,Teams,Pull another throw we behavior across break.,RH,Oui
500,2024-03-06,Email,Wonder ground along true five charge.,Ventes,Oui
